state,year,drug_cat,probation_sentence_count,supervised_release_sentence_count,total_sentence_count_by_drug_cat,probation_sentence_rate,supervised_release_sentence_rate,total_sentences_by_state_year
Iowa,2016,Marijuana Possession,0,0,0,0,0,576
Iowa,2016,Marijuana Trafficking,0,5,5,0,1,576
Iowa,2017,Marijuana Possession,0,0,0,0,0,622
Iowa,2017,Marijuana Trafficking,0,2,2,0,1,622
Iowa,2018,Marijuana Possession,0,0,0,0,0,696
Iowa,2018,Marijuana Trafficking,0,11,11,0,1,696
Iowa,2019,Marijuana Possession,0,0,0,0,0,742
Iowa,2019,Marijuana Trafficking,1,9,10,0.1,0.9,742
Iowa,2020,Marijuana Possession,0,0,0,0,0,651
Iowa,2020,Marijuana Trafficking,0,14,14,0,1,651
Iowa,2021,Marijuana Possession,0,1,1,0,1,715
Iowa,2021,Marijuana Trafficking,0,12,12,0,1,715
Iowa,2022,Marijuana Possession,0,0,0,0,0,686
Iowa,2022,Marijuana Trafficking,1,3,4,0.25,0.75,686
Iowa,2023,Marijuana Possession,0,0,0,0,0,675
Iowa,2023,Marijuana Trafficking,0,1,1,0,1,675
Iowa,2024,Marijuana Possession,0,0,0,0,0,534
Iowa,2024,Marijuana Trafficking,0,6,6,0,1,534
Kansas,2014,Marijuana Possession,2,0,2,1,0,675
Kansas,2014,Marijuana Trafficking,7,17,23,0.304347826086957,0.739130434782609,675
Kansas,2015,Marijuana Possession,1,0,5,0.2,0,595
Kansas,2015,Marijuana Trafficking,9,36,41,0.219512195121951,0.878048780487805,595
Kansas,2016,Marijuana Possession,2,0,2,1,0,356
Kansas,2016,Marijuana Trafficking,5,10,11,0.454545454545455,0.909090909090909,356
Kansas,2017,Marijuana Possession,0,0,0,0,0,443
Kansas,2017,Marijuana Trafficking,1,5,6,0.166666666666667,0.833333333333333,443
Kansas,2018,Marijuana Possession,1,0,2,0.5,0,370
Kansas,2018,Marijuana Trafficking,1,4,5,0.2,0.8,370
Kansas,2019,Marijuana Possession,0,1,1,0,1,352
Kansas,2019,Marijuana Trafficking,2,5,7,0.285714285714286,0.714285714285714,352
Kansas,2020,Marijuana Possession,0,0,0,0,0,255
Kansas,2020,Marijuana Trafficking,0,0,1,0,0,255
Kansas,2021,Marijuana Possession,1,1,2,0.5,0.5,343
